England,Europe
Wales,Europe
Scotland,Europe
Ireland,Europe
Russia,Europe
France,Europe
Belgium,Europe
Sardinia,Europe
Spain,Europe
Portugal,Europe
Netherlands,Europe
Denmark,Europe
Norway,Europe
Sweden,Europe
Prussia,Europe
Austria,Europe
Bavaria,Europe
Hannover,Europe
MECKLENBURG-SCHWERIN (Duchy of),Europe
The German Free Cities,Europe
Genoa (Republic of),Europe
Sardinia (Kingdom of),Europe
Sardinia,Europe
Papal States,Europe
Naples (Kingdom of),Europe
Malta,Europe
Turkey,Europe
Greece,Europe
Morocco,Africa
Algeria,Africa
Tunisia,Africa
Tripolitania,Africa
South Africa,Africa
India,Asia
Mauritius,Asia
Siam,Asia
Java,Asia
Philippines,Asia
China,Asia
Hawaii,Asia
Bermuda,North America
Florida,North America
Louisiana,North America
Oregon,North America
Cuba,North America
Haiti,North America
Jamaica,North America
Puerto Rico,North America
Antigua Island,North America
St. Kitts Island,North America
Guadaloupe,North America
Barbados,North America
Curacao Island,North America
Bahamas,North America
St. Bartholomew Island,North America
Virgin Islands,North America
St. Eustatius Island,North America
Martinique,North America
Trinidad Island,North America
Mexico,North America
Guatemala,North America
Colombia,South America
Venezuela,South America
British Guiana,South America
French Guiana,South America
Surinam,South America
Ecuador,South America
Peru,South America
Brazil,South America
Chile,South America
Uruguay,South America
Argentina,South America
Cap Verde Islands, Europe
Madeira Islands, Europe
Azore Islands, Europe
Canary Islands, Europe
Majorca, Europe
